=== CALIBRATION PARAMETERS ===
Scale X: 1.000000
Scale Y: 1.234756
Center X: -9.500000
Center Y: -45.685976
Data Points: 502
Timestamp: 20250711_092534

=== RAW AND CALIBRATED DATA ===
Index, Raw_X, Raw_Y, Calibrated_X, Calibrated_Y
166, -87.000000, 108.000000, -77.500000, 179.039634
167, -97.000000, 112.000000, -87.500000, 183.978659
168, -116.000000, 101.000000, -106.500000, 170.396341
169, -138.000000, 93.000000, -128.500000, 160.518293
170, -166.000000, 70.000000, -156.500000, 132.118902
171, -189.000000, 39.000000, -179.500000, 93.841463
172, -202.000000, 4.000000, -192.500000, 50.625000
173, -205.000000, -40.000000, -195.500000, -3.704268
174, -198.000000, -79.000000, -188.500000, -51.859756
175, -178.000000, -104.000000, -168.500000, -82.728659
176, -164.000000, -131.000000, -154.500000, -116.067073
177, -147.000000, -140.000000, -137.500000, -127.179878
178, -136.000000, -151.000000, -126.500000, -140.762195
179, -127.000000, -159.000000, -117.500000, -150.640244
180, -120.000000, -162.000000, -110.500000, -154.344512
181, -121.000000, -160.000000, -111.500000, -151.875000
182, -124.000000, -163.000000, -114.500000, -155.579268
183, -135.000000, -149.000000, -125.500000, -138.292683
184, -156.000000, -139.000000, -146.500000, -125.945122
185, -170.000000, -121.000000, -160.500000, -103.719512
186, -186.000000, -94.000000, -176.500000, -70.381098
187, -197.000000, -67.000000, -187.500000, -37.042683
188, -208.000000, -37.000000, -198.500000, 0.000000
189, -200.000000, -3.000000, -190.500000, 41.981707
190, -193.000000, 30.000000, -183.500000, 82.728659
191, -170.000000, 65.000000, -160.500000, 125.945122
192, -129.000000, 98.000000, -119.500000, 166.692073
193, -84.000000, 116.000000, -74.500000, 188.917683
194, -34.000000, 125.000000, -24.500000, 200.030488
195, 14.000000, 120.000000, 23.500000, 193.856707
196, 44.000000, 110.000000, 53.500000, 181.509146
197, 71.000000, 105.000000, 80.500000, 175.335366
198, 84.000000, 95.000000, 93.500000, 162.987805
199, 88.000000, 99.000000, 97.500000, 167.926829
200, 84.000000, 100.000000, 93.500000, 169.161585
201, 77.000000, 102.000000, 86.500000, 171.631098
202, 63.000000, 109.000000, 72.500000, 180.274390
203, 66.000000, 109.000000, 75.500000, 180.274390
204, 77.000000, 103.000000, 86.500000, 172.865854
205, 93.000000, 104.000000, 102.500000, 174.100610
206, 119.000000, 79.000000, 128.500000, 143.231707
207, 142.000000, 55.000000, 151.500000, 113.597561
208, 170.000000, 29.000000, 179.500000, 81.493902
209, 182.000000, -11.000000, 191.500000, 32.103659
210, 188.000000, -37.000000, 197.500000, 0.000000
211, 188.000000, -66.000000, 197.500000, -35.807927
212, 179.000000, -87.000000, 188.500000, -61.737805
213, 171.000000, -109.000000, 180.500000, -88.902439
214, 164.000000, -122.000000, 173.500000, -104.954268
215, 156.000000, -131.000000, 165.500000, -116.067073
216, 141.000000, -143.000000, 150.500000, -130.884146
217, 127.000000, -157.000000, 136.500000, -148.170732
218, 104.000000, -168.000000, 113.500000, -161.753049
219, 79.000000, -183.000000, 88.500000, -180.274390
220, 49.000000, -188.000000, 58.500000, -186.448171
221, 26.000000, -186.000000, 35.500000, -183.978659
222, 2.000000, -192.000000, 11.500000, -191.387195
223, -25.000000, -189.000000, -15.500000, -187.682927
224, -138.000000, -148.000000, -128.500000, -137.057927
225, -117.000000, -160.000000, -107.500000, -151.875000
226, -88.000000, -174.000000, -78.500000, -169.161585
227, -52.000000, -191.000000, -42.500000, -190.152439
228, -10.000000, -190.000000, -0.500000, -188.917683
229, 31.000000, -188.000000, 40.500000, -186.448171
230, 74.000000, -178.000000, 83.500000, -174.100610
231, 111.000000, -166.000000, 120.500000, -159.283537
232, 140.000000, -139.000000, 149.500000, -125.945122
233, 168.000000, -107.000000, 177.500000, -86.432927
234, 183.000000, -71.000000, 192.500000, -41.981707
235, 188.000000, -36.000000, 197.500000, 1.234756
236, 188.000000, -5.000000, 197.500000, 39.512195
237, 171.000000, 34.000000, 180.500000, 87.667683
238, 145.000000, 69.000000, 154.500000, 130.884146
239, 99.000000, 97.000000, 108.500000, 165.457317
240, 50.000000, 114.000000, 59.500000, 186.448171
241, -5.000000, 125.000000, 4.500000, 200.030488
242, -55.000000, 118.000000, -45.500000, 191.387195
243, -93.000000, 108.000000, -83.500000, 179.039634
244, -125.000000, 94.000000, -115.500000, 161.753049
245, -152.000000, 82.000000, -142.500000, 146.935976
246, -165.000000, 66.000000, -155.500000, 127.179878
247, -183.000000, 49.000000, -173.500000, 106.189024
248, -194.000000, 28.000000, -184.500000, 80.259146
249, -191.000000, 23.000000, -181.500000, 74.085366
250, -190.000000, 41.000000, -180.500000, 96.310976
251, -180.000000, 51.000000, -170.500000, 108.658537
252, -165.000000, 70.000000, -155.500000, 132.118902
253, -151.000000, 88.000000, -141.500000, 154.344512
254, -121.000000, 105.000000, -111.500000, 175.335366
255, -75.000000, 122.000000, -65.500000, 196.326220
256, -22.000000, 124.000000, -12.500000, 198.795732
257, 34.000000, 114.000000, 43.500000, 186.448171
258, 79.000000, 98.000000, 88.500000, 166.692073
259, 127.000000, 74.000000, 136.500000, 137.057927
