=== MAGNETIC COMPASS CALIBRATION RESULTS ===

Algorithm: Horizontal Projection with Simple Scaling
Calibration Time: 2025-07-12 16:06:22
Data Points: 426

CALIBRATION PARAMETERS:
Scale X: 0.929887
Scale Y: 1.081548
Center X: -76.715963
Center Y: -51.836568

RAW DATA (MagX, MagY, MagZ, Pitch, Roll)
Processed Data (CalibratedX, CalibratedY)
================================================================================
49: Raw = [X: -54.00, Y: 92.00, Z: -137.00, Pitch: -1.39бу, Roll: -1.22бу] -> Calibrated = [X: 29.62, Y: 148.13]
50: Raw = [X: -55.00, Y: 90.00, Z: -142.00, Pitch: -1.47бу, Roll: -1.26бу] -> Calibrated = [X: 28.97, Y: 145.74]
51: Raw = [X: -48.00, Y: 86.00, Z: -138.00, Pitch: -1.54бу, Roll: -1.29бу] -> Calibrated = [X: 35.56, Y: 141.43]
52: Raw = [X: -51.00, Y: 89.00, Z: -138.00, Pitch: -1.62бу, Roll: -1.32бу] -> Calibrated = [X: 32.94, Y: 144.59]
53: Raw = [X: -48.00, Y: 86.00, Z: -136.00, Pitch: -1.70бу, Roll: -1.37бу] -> Calibrated = [X: 35.86, Y: 141.28]
54: Raw = [X: -54.00, Y: 87.00, Z: -134.00, Pitch: -1.78бу, Roll: -1.41бу] -> Calibrated = [X: 30.41, Y: 142.28]
55: Raw = [X: -49.00, Y: 88.00, Z: -137.00, Pitch: -1.85бу, Roll: -1.45бу] -> Calibrated = [X: 35.30, Y: 143.20]
56: Raw = [X: -48.00, Y: 91.00, Z: -134.00, Pitch: -1.92бу, Roll: -1.48бу] -> Calibrated = [X: 36.28, Y: 146.44]
57: Raw = [X: -53.00, Y: 88.00, Z: -138.00, Pitch: -1.97бу, Roll: -1.50бу] -> Calibrated = [X: 31.87, Y: 143.03]
58: Raw = [X: -50.00, Y: 85.00, Z: -137.00, Pitch: -2.01бу, Roll: -1.50бу] -> Calibrated = [X: 34.71, Y: 139.82]
59: Raw = [X: -52.00, Y: 92.00, Z: -137.00, Pitch: -2.01бу, Roll: -1.49бу] -> Calibrated = [X: 32.87, Y: 147.40]
60: Raw = [X: -50.00, Y: 86.00, Z: -136.00, Pitch: -1.99бу, Roll: -1.46бу] -> Calibrated = [X: 34.65, Y: 141.04]
61: Raw = [X: -48.00, Y: 87.00, Z: -134.00, Pitch: -1.94бу, Roll: -1.40бу] -> Calibrated = [X: 36.33, Y: 142.32]
62: Raw = [X: -50.00, Y: 90.00, Z: -138.00, Pitch: -1.87бу, Roll: -1.31бу] -> Calibrated = [X: 34.43, Y: 145.70]
63: Raw = [X: -52.00, Y: 93.00, Z: -136.00, Pitch: -1.79бу, Roll: -1.23бу] -> Calibrated = [X: 32.34, Y: 149.19]
64: Raw = [X: -50.00, Y: 86.00, Z: -137.00, Pitch: -1.72бу, Roll: -1.16бу] -> Calibrated = [X: 34.07, Y: 141.80]
65: Raw = [X: -57.00, Y: 88.00, Z: -139.00, Pitch: -1.67бу, Roll: -1.13бу] -> Calibrated = [X: 27.50, Y: 144.01]
66: Raw = [X: -51.00, Y: 85.00, Z: -135.00, Pitch: -1.63бу, Roll: -1.13бу] -> Calibrated = [X: 32.88, Y: 140.85]
67: Raw = [X: -52.00, Y: 89.00, Z: -137.00, Pitch: -1.60бу, Roll: -1.16бу] -> Calibrated = [X: 31.94, Y: 145.04]
68: Raw = [X: -52.00, Y: 89.00, Z: -140.00, Pitch: -1.58бу, Roll: -1.19бу] -> Calibrated = [X: 31.97, Y: 144.90]
69: Raw = [X: -55.00, Y: 91.00, Z: -139.00, Pitch: -1.56бу, Roll: -1.22бу] -> Calibrated = [X: 29.12, Y: 147.01]
70: Raw = [X: -54.00, Y: 92.00, Z: -135.00, Pitch: -1.55бу, Roll: -1.23бу] -> Calibrated = [X: 29.91, Y: 148.14]
71: Raw = [X: -52.00, Y: 87.00, Z: -140.00, Pitch: -1.53бу, Roll: -1.22бу] -> Calibrated = [X: 31.85, Y: 142.66]
