=== 校准参数 ===
X轴缩放因子: 1.000000
Y轴缩放因子: 1.222892
中心点 X: -7.000000
中心点 Y: -45.246988
数据点数: 600
校准时间: 20250711_082905

=== 原始数据 ===
Mag_X, Mag_Y
-36.000000, 193.216867
-25.000000, 200.554217
-13.000000, 196.885542
-2.000000, 196.885542
9.000000, 194.439759
17.000000, 195.662651
4.000000, 198.108434
-12.000000, 193.216867
-26.000000, 200.554217
-55.000000, 194.439759
-105.000000, 168.759036
-163.000000, 132.072289
-197.000000, 55.030120
-198.000000, -24.457831
-170.000000, -95.385542
-117.000000, -150.415663
-71.000000, -182.210843
-28.000000, -196.885542
3.000000, -194.439759
28.000000, -196.885542
40.000000, -198.108434
44.000000, -194.439759
38.000000, -195.662651
26.000000, -203.000000
9.000000, -198.108434
-9.000000, -194.439759
-30.000000, -190.771084
-59.000000, -180.987952
-80.000000, -171.204819
-101.000000, -162.644578
-127.000000, -149.192771
-146.000000, -129.626506
-161.000000, -107.614458
-177.000000, -83.156627
-185.000000, -61.144578
-192.000000, -37.909639
-197.000000, -23.234940
-198.000000, -12.228916
-199.000000, 4.891566
-200.000000, 31.795181
-190.000000, 77.042169
-168.000000, 125.957831
-92.000000, 183.433735
-13.000000, 194.439759
70.000000, 184.656627
135.000000, 140.632530
174.000000, 85.602410
193.000000, 34.240964
197.000000, -13.451807
195.000000, -53.807229
182.000000, -80.710843
176.000000, -90.493976
173.000000, -102.722892
175.000000, -97.831325
182.000000, -81.933735
190.000000, -69.704819
194.000000, -39.132530
194.000000, -4.891566
196.000000, 29.349398
179.000000, 69.704819
151.000000, 113.728916
121.000000, 151.638554
76.000000, 172.427711
33.000000, 188.325301
-13.000000, 193.216867
-49.000000, 189.548193
-76.000000, 191.993976
-90.000000, 182.210843
-104.000000, 171.204819
-107.000000, 169.981928
-113.000000, 171.204819
-127.000000, 162.644578
-139.000000, 155.307229
-155.000000, 141.855422
-173.000000, 113.728916
-197.000000, 53.807229
-201.000000, -18.343373
-182.000000, -70.927711
-155.000000, -107.614458
-129.000000, -144.301205
-102.000000, -160.198795
-85.000000, -180.987952
-65.000000, -184.656627
-62.000000, -185.879518
-61.000000, -185.879518
-63.000000, -185.879518
-77.000000, -174.873494
-85.000000, -166.313253
-105.000000, -168.759036
-117.000000, -151.638554
-132.000000, -140.632530
-146.000000, -121.066265
-159.000000, -106.391566
-168.000000, -96.608434
-174.000000, -83.156627
-187.000000, -64.813253
-192.000000, -52.584337
-195.000000, -39.132530
-194.000000, -24.457831
-202.000000, -8.560241
-198.000000, 1.222892
-200.000000, 7.337349
-202.000000, 30.572289
-192.000000, 68.481928
-169.000000, 118.620482
-107.000000, 173.650602
-7.000000, 193.216867
82.000000, 171.204819
151.000000, 118.620482
186.000000, 51.361446
197.000000, -18.343373
187.000000, -70.927711
170.000000, -114.951807
145.000000, -134.518072
123.000000, -152.861446
117.000000, -165.090361
118.000000, -163.867470
122.000000, -157.753012
141.000000, -139.409639
162.000000, -117.397590
180.000000, -89.271084
189.000000, -51.361446
200.000000, -4.891566
187.000000, 57.475904
162.000000, 108.837349
119.000000, 150.415663
67.000000, 180.987952
10.000000, 195.662651
-46.000000, 194.439759
-86.000000, 183.433735
-104.000000, 172.427711
-132.000000, 162.644578
-140.000000, 147.969880
-152.000000, 140.632530
-153.000000, 135.740964
-158.000000, 134.518072
-159.000000, 130.849398
-154.000000, 132.072289
-151.000000, 134.518072
-158.000000, 133.295181
-152.000000, 134.518072
-153.000000, 140.632530
-148.000000, 139.409639
-142.000000, 147.969880
-140.000000, 151.638554
-145.000000, 149.192771
-139.000000, 147.969880
-133.000000, 150.415663
-133.000000, 151.638554
-138.000000, 152.861446
-128.000000, 158.975904
-115.000000, 167.536145
-96.000000, 179.765060
-69.000000, 183.433735
-32.000000, 195.662651
-6.000000, 193.216867
20.000000, 193.216867
48.000000, 189.548193
69.000000, 179.765060
87.000000, 173.650602
98.000000, 166.313253
112.000000, 156.530120
114.000000, 151.638554
118.000000, 151.638554
113.000000, 157.753012
106.000000, 157.753012
99.000000, 165.090361
89.000000, 168.759036
75.000000, 173.650602
61.000000, 180.987952
47.000000, 189.548193
32.000000, 191.993976
10.000000, 196.885542
-1.000000, 194.439759
-21.000000, 191.993976
-29.000000, 195.662651
-31.000000, 194.439759
-37.000000, 193.216867
-34.000000, 195.662651
-39.000000, 198.108434
-32.000000, 196.885542
-31.000000, 195.662651
-24.000000, 200.554217
-21.000000, 199.331325
-21.000000, 194.439759
-16.000000, 196.885542
-7.000000, 191.993976
-8.000000, 199.331325
-9.000000, 193.216867
-4.000000, 193.216867
3.000000, 196.885542
-1.000000, 196.885542
6.000000, 195.662651
3.000000, 198.108434
6.000000, 195.662651
5.000000, 193.216867
10.000000, 195.662651
5.000000, 198.108434
5.000000, 193.216867
5.000000, 190.771084
5.000000, 198.108434
9.000000, 195.662651
12.000000, 191.993976
9.000000, 200.554217
4.000000, 195.662651
6.000000, 199.331325
4.000000, 195.662651
6.000000, 193.216867
10.000000, 198.108434
3.000000, 200.554217
6.000000, 194.439759
6.000000, 193.216867
6.000000, 191.993976
8.000000, 198.108434
8.000000, 198.108434
5.000000, 195.662651
4.000000, 194.439759
3.000000, 194.439759
3.000000, 193.216867
6.000000, 193.216867
9.000000, 191.993976
6.000000, 195.662651
5.000000, 194.439759
6.000000, 195.662651
8.000000, 199.331325
6.000000, 194.439759
6.000000, 195.662651
8.000000, 195.662651
6.000000, 195.662651
4.000000, 191.993976
4.000000, 198.108434
9.000000, 196.885542
8.000000, 190.771084
8.000000, 195.662651
8.000000, 193.216867
6.000000, 193.216867
4.000000, 195.662651
2.000000, 199.331325
6.000000, 188.325301
5.000000, 195.662651
5.000000, 195.662651
8.000000, 195.662651
1.000000, 195.662651
6.000000, 195.662651
9.000000, 195.662651
6.000000, 196.885542
6.000000, 193.216867
9.000000, 193.216867
4.000000, 203.000000
8.000000, 194.439759
6.000000, 196.885542
9.000000, 195.662651
5.000000, 193.216867
6.000000, 190.771084
4.000000, 199.331325
5.000000, 194.439759
1.000000, 196.885542
4.000000, 193.216867
8.000000, 199.331325
13.000000, 196.885542
10.000000, 199.331325
8.000000, 195.662651
6.000000, 194.439759
3.000000, 199.331325
3.000000, 191.993976
8.000000, 195.662651
5.000000, 196.885542
6.000000, 196.885542
3.000000, 191.993976
2.000000, 194.439759
1.000000, 195.662651
9.000000, 198.108434
9.000000, 196.885542
6.000000, 193.216867
6.000000, 195.662651
5.000000, 199.331325
6.000000, 193.216867
3.000000, 195.662651
5.000000, 195.662651
9.000000, 195.662651
4.000000, 194.439759
5.000000, 193.216867
8.000000, 196.885542
3.000000, 190.771084
10.000000, 196.885542
5.000000, 196.885542
10.000000, 195.662651
2.000000, 195.662651
8.000000, 195.662651
3.000000, 195.662651
6.000000, 195.662651
6.000000, 198.108434
9.000000, 193.216867
6.000000, 199.331325
5.000000, 199.331325
8.000000, 190.771084
6.000000, 199.331325
4.000000, 195.662651
3.000000, 195.662651
6.000000, 196.885542
9.000000, 195.662651
8.000000, 193.216867
5.000000, 198.108434
11.000000, 199.331325
6.000000, 194.439759
8.000000, 198.108434
4.000000, 198.108434
5.000000, 194.439759
9.000000, 194.439759
5.000000, 193.216867
5.000000, 198.108434
