=== MAGNETIC COMPASS CALIBRATION RESULTS ===

Algorithm: Horizontal Projection with Simple Scaling
Calibration Time: 2025-07-12 16:12:18
Data Points: 600

CALIBRATION PARAMETERS:
Scale X: 0.928927
Scale Y: 1.082850
Center X: -75.887775
Center Y: -70.072810

RAW DATA (MagX, MagY, MagZ, Pitch, Roll)
Processed Data (CalibratedX, CalibratedY)
================================================================================
51: Raw = [X: 45.00, Y: 50.00, Z: -146.00, Pitch: -1.74бу, Roll: -1.64бу] -> Calibrated = [X: 121.79, Y: 119.72]
52: Raw = [X: 29.00, Y: 62.00, Z: -144.00, Pitch: -1.71бу, Roll: -1.44бу] -> Calibrated = [X: 106.81, Y: 133.31]
53: Raw = [X: 6.00, Y: 73.00, Z: -139.00, Pitch: -1.67бу, Roll: -1.25бу] -> Calibrated = [X: 85.23, Y: 145.82]
54: Raw = [X: -22.00, Y: 81.00, Z: -132.00, Pitch: -1.62бу, Roll: -1.06бу] -> Calibrated = [X: 58.93, Y: 155.11]
55: Raw = [X: -40.00, Y: 92.00, Z: -126.00, Pitch: -1.57бу, Roll: -0.89бу] -> Calibrated = [X: 41.96, Y: 167.55]
56: Raw = [X: -68.00, Y: 99.00, Z: -120.00, Pitch: -1.50бу, Roll: -0.75бу] -> Calibrated = [X: 15.67, Y: 175.55]
57: Raw = [X: -88.00, Y: 99.00, Z: -114.00, Pitch: -1.42бу, Roll: -0.60бу] -> Calibrated = [X: -3.21, Y: 175.95]
58: Raw = [X: -120.00, Y: 101.00, Z: -104.00, Pitch: -1.33бу, Roll: -0.47бу] -> Calibrated = [X: -33.32, Y: 178.49]
59: Raw = [X: -143.00, Y: 94.00, Z: -101.00, Pitch: -1.22бу, Roll: -0.36бу] -> Calibrated = [X: -54.92, Y: 171.14]
60: Raw = [X: -168.00, Y: 90.00, Z: -99.00, Pitch: -1.10бу, Roll: -0.27бу] -> Calibrated = [X: -78.38, Y: 167.00]
61: Raw = [X: -188.00, Y: 85.00, Z: -92.00, Pitch: -0.97бу, Roll: -0.20бу] -> Calibrated = [X: -97.28, Y: 161.76]
62: Raw = [X: -202.00, Y: 74.00, Z: -92.00, Pitch: -0.83бу, Roll: -0.17бу] -> Calibrated = [X: -110.50, Y: 149.90]
63: Raw = [X: -223.00, Y: 58.00, Z: -87.00, Pitch: -0.67бу, Roll: -0.16бу] -> Calibrated = [X: -130.30, Y: 132.61]
64: Raw = [X: -240.00, Y: 43.00, Z: -90.00, Pitch: -0.49бу, Roll: -0.15бу] -> Calibrated = [X: -146.34, Y: 116.37]
65: Raw = [X: -254.00, Y: 33.00, Z: -90.00, Pitch: -0.28бу, Roll: -0.16бу] -> Calibrated = [X: -159.65, Y: 105.53]
66: Raw = [X: -262.00, Y: 17.00, Z: -94.00, Pitch: -0.05бу, Roll: -0.18бу] -> Calibrated = [X: -167.42, Y: 88.17]
67: Raw = [X: -265.00, Y: 2.00, Z: -93.00, Pitch: 0.17бу, Roll: -0.21бу] -> Calibrated = [X: -170.53, Y: 71.87]
68: Raw = [X: -271.00, Y: -16.00, Z: -97.00, Pitch: 0.40бу, Roll: -0.26бу] -> Calibrated = [X: -176.47, Y: 52.27]
69: Raw = [X: -270.00, Y: -32.00, Z: -101.00, Pitch: 0.60бу, Roll: -0.33бу] -> Calibrated = [X: -175.88, Y: 34.80]
70: Raw = [X: -270.00, Y: -45.00, Z: -106.00, Pitch: 0.77бу, Roll: -0.42бу] -> Calibrated = [X: -176.22, Y: 20.53]
71: Raw = [X: -273.00, Y: -52.00, Z: -104.00, Pitch: 0.92бу, Roll: -0.52бу] -> Calibrated = [X: -179.22, Y: 12.79]
72: Raw = [X: -269.00, Y: -61.00, Z: -111.00, Pitch: 1.07бу, Roll: -0.61бу] -> Calibrated = [X: -175.87, Y: 2.81]
73: Raw = [X: -266.00, Y: -67.00, Z: -110.00, Pitch: 1.19бу, Roll: -0.69бу] -> Calibrated = [X: -173.27, Y: -3.84]
74: Raw = [X: -265.00, Y: -70.00, Z: -114.00, Pitch: 1.29бу, Roll: -0.73бу] -> Calibrated = [X: -172.61, Y: -7.21]
75: Raw = [X: -266.00, Y: -64.00, Z: -110.00, Pitch: 1.38бу, Roll: -0.74бу] -> Calibrated = [X: -173.60, Y: -0.67]
76: Raw = [X: -267.00, Y: -61.00, Z: -103.00, Pitch: 1.45бу, Roll: -0.74бу] -> Calibrated = [X: -174.48, Y: 2.68]
77: Raw = [X: -271.00, Y: -59.00, Z: -108.00, Pitch: 1.52бу, Roll: -0.72бу] -> Calibrated = [X: -178.42, Y: 4.81]
78: Raw = [X: -270.00, Y: -75.00, Z: -108.00, Pitch: 1.56бу, Roll: -0.71бу] -> Calibrated = [X: -177.56, Y: -12.49]
79: Raw = [X: -266.00, Y: -95.00, Z: -114.00, Pitch: 1.60бу, Roll: -0.75бу] -> Calibrated = [X: -174.07, Y: -34.30]
