compensated_x,compensated_y
-191.3923267180399,-68.98217159314146
-167.25019337650417,-105.97624845806524
-149.35389486901173,-132.0680347087192
-130.56023383350902,-147.45211292235584
-121.68478777975116,-159.00662409564683
-133.47769941344026,-152.72510801628573
-137.6923093838522,-147.20859329515642
-154.98314726497918,-130.55873815635908
-174.97234753404737,-111.40143018950525
-182.31852944644172,-96.37843617366316
-195.06497702023148,-67.64711141640099
-201.8278449691509,-48.982411819103504
-195.91651541438327,-41.4077860718093
-203.9190312001835,-45.87381976418739
-194.82271935145076,-50.46136061748733
-197.52416075284285,-57.1170952945089
-184.68596828773585,-90.03670199981457
-150.9184304749724,-132.31717399626518
-103.01074299051172,-169.7478920323787
-63.03015748242482,-189.4815635871893
-24.00041954235927,-196.56118978730015
6.303137396260113,-201.7831566928911
23.8497881913237,-205.11612741696547
31.491553270203305,-204.36354729886088
30.853602815380594,-203.646497520063
22.14704222673898,-206.42495982467346
5.160517291427829,-209.11190550033558
-22.163873967779384,-203.66251098205268
-48.712266615273144,-198.61748980642994
-79.46173197268318,-191.4403621666404
-111.13463027222575,-173.4042950839975
-134.0453877088504,-154.50078828089238
-142.52492635067614,-148.32688566468653
-159.83467673325492,-134.28109524606552
-164.77357342670064,-123.12599995983426
-166.62609970810604,-118.3124814580274
-168.33852904749574,-114.70256855129558
-172.04038789783996,-115.14364934526546
-161.6301376166591,-121.65425621684065
-157.36457110690236,-131.40446449114492
-137.45931164950446,-143.0577285875296
-102.84928792570672,-167.8097385064053
-65.30738785664495,-189.6012070511275
-36.83234850845168,-194.64243646375243
-10.064803391314316,-198.80886540744083
8.619193322873816,-199.78152603608305
15.044688413481918,-196.77148492367965
16.431317145661062,-199.950537250452
10.899405318717564,-199.94358998870155
-6.6855410927201095,-201.74078444700606
-22.539991392494773,-201.54471103028055
-29.250739623639355,-196.8836025908568
-19.485251929159435,-202.61325392907938
-6.599620005501318,-209.26181964962444
19.31773287346048,-207.13230010523765
61.79282972043461,-200.85512310952797
107.81533896421648,-180.4026349937034
143.86352674021728,-157.40439824921927
163.91910169546546,-130.0305474635427
176.82368966762843,-101.17009597304894
180.0606978121638,-79.04109012072442
181.01938068945788,-59.47402839773824
180.3160598753459,-43.14801690271661
184.4260068155871,-31.98123691254933
179.29138609763862,-36.17105189244809
179.2094810488119,-33.90294584306923
170.73913089622562,-21.927004062289576
167.50764306632465,-4.19793104309851
150.31787007544926,30.022344273595262
103.43050219512857,72.27110138989227
57.4655174030857,102.93233294114961
5.408427191663808,116.58586318526173
-34.81546025890857,125.09903618968993
-63.08131297909437,121.30979374216714
-78.6168287386083,119.95089645901999
-96.01205474688273,113.2376257904774
-100.23902145588663,114.13389908547092
-103.46950896820054,110.87002713407742
-100.59019461607683,113.4076087896805
-97.68583788473495,109.00206171165844
-91.66088199707924,110.44234582451782
-78.71511385749214,115.96505549872542
-63.74899620321827,115.46816345371546
-35.778521402161765,119.99694428938476
8.263081745624998,117.32921457781123
56.33544101417255,105.57588561065369
101.5375900154009,72.92443967683865
143.7208861686545,38.02763655096543
163.67578158770297,-1.5056425091367078
175.68051436967954,-41.33021525433208
176.57819833645917,-74.93500337100706
175.2440364177422,-100.53378851117425
164.05597753931775,-119.50425138658545
159.0007212810176,-139.1680889490754
150.94263691810596,-151.51767128423705
141.9438516750175,-153.97871288011262
138.9649180928775,-162.97468266515472
142.0602620739487,-164.02516180161834
138.06251961810193,-162.9636609508745
130.92823803916065,-164.0195300874373
128.53413397937925,-179.30585866119515
102.94682022214721,-189.03802448355069
75.05555622807381,-199.09218142776274
25.891086134751657,-210.50843354548695
-30.23096793870553,-204.06564326493697
-81.16239827037194,-188.95241526524927
-123.79674113146295,-161.23401477692437
-162.32842220891695,-128.82135979661325
-186.2726750038186,-87.19541551070766
-199.01412906564195,-45.70165360724584
-202.43327324979427,-10.429387188812957
-192.61522104772786,14.643720600076803
-188.74214878890706,26.335936882230182
-183.83696914626438,30.764899173451077
-181.026595154512,42.001917821449254
-174.19693680582634,58.11620218285256
-152.37155020393524,70.09273860208178
-114.55575248544874,97.87372542821498
-61.38577274897048,110.32553723398125
-2.046271397025961,104.27619525947678
46.920477871822115,88.72193820549614
101.61498227415157,65.51859718268227
133.2674026367983,33.47206785978028
154.54049406471393,9.741831464341375
161.62258378135832,-21.660938654746168
164.91017971547257,-36.496546392868254
